id,enabled,tagname,comment,interface,dst_addr,netmask,gateway,prio,ip_type
1,"yes","DNS_1","DNS","lan1","1.0.0.1","255.255.255.255","10.0.0.2",1,"4"
2,"yes","DNS_2","DNS","lan1","1.1.1.1","255.255.255.255","10.0.0.2",1,"4"
3,"yes","DNS_3","DNS","lan1","8.8.4.4","255.255.255.255","10.0.0.2",1,"4"
4,"yes","DNS_4","DNS","lan1","8.8.8.8","255.255.255.255","10.0.0.2",1,"4"
5,"yes","DNS-v6_1","DNS-v6","lan1","2001:4860:4860::8888/128","","fe80::be24:11ff:feec:684d",1,"6"
6,"yes","DNS-v6_2","DNS-v6","lan1","2001:4860:4860::8844/128","","fe80::be24:11ff:feec:684d",1,"6"
7,"yes","DNS-v6_3","DNS-v6","lan1","2606:4700:4700::1111/128","","fe80::be24:11ff:feec:684d",1,"6"
8,"yes","DNS-v6_4","DNS-v6","lan1","2606:4700:4700::1001/128","","fe80::be24:11ff:feec:684d",1,"6"
9,"yes","FakeIP","FakeIP","lan1","28.0.0.0","255.0.0.0","10.0.0.2",1,"4"
10,"yes","FakeIP-v6","FakeIP-v6","lan1","f2b0::/18","","fe80::be24:11ff:feec:684d",1,"6"
11,"yes","GoogleVoice","GoogleVoice","lan1","216.239.36.0","255.255.255.0","10.0.0.2",3,"4"
12,"yes","Netflix_1","Netflix","lan1","23.23.189.144","255.255.255.240","10.0.0.2",3,"4"
13,"yes","Netflix_2","Netflix","lan1","23.246.0.0","255.255.192.0","10.0.0.2",3,"4"
14,"yes","Netflix_3","Netflix","lan1","34.195.253.0","255.255.255.128","10.0.0.2",3,"4"
15,"yes","Netflix_4","Netflix","lan1","37.77.184.0","255.255.248.0","10.0.0.2",3,"4"
16,"yes","Netflix_5","Netflix","lan1","38.72.126.0","255.255.255.0","10.0.0.2",3,"4"
17,"yes","Netflix_6","Netflix","lan1","45.57.0.0","255.255.128.0","10.0.0.2",3,"4"
18,"yes","Netflix_7","Netflix","lan1","52.24.178.0","255.255.255.0","10.0.0.2",3,"4"
19,"yes","Netflix_8","Netflix","lan1","52.26.0.0","255.254.0.0","10.0.0.2",3,"4"
20,"yes","Netflix_9","Netflix","lan1","52.35.140.0","255.255.255.0","10.0.0.2",3,"4"
21,"yes","Netflix_10","Netflix","lan1","54.204.25.0","255.255.255.240","10.0.0.2",3,"4"
22,"yes","Netflix_11","Netflix","lan1","54.213.167.0","255.255.255.0","10.0.0.2",3,"4"
23,"yes","Netflix_12","Netflix","lan1","64.120.128.0","255.255.128.0","10.0.0.2",3,"4"
24,"yes","Netflix_13","Netflix","lan1","66.197.128.0","255.255.128.0","10.0.0.2",3,"4"
25,"yes","Netflix_14","Netflix","lan1","69.53.224.0","255.255.224.0","10.0.0.2",3,"4"
26,"yes","Netflix_15","Netflix","lan1","103.87.204.0","255.255.252.0","10.0.0.2",3,"4"
27,"yes","Netflix_16","Netflix","lan1","108.175.32.0","255.255.240.0","10.0.0.2",3,"4"
28,"yes","Netflix_17","Netflix","lan1","185.2.220.0","255.255.252.0","10.0.0.2",3,"4"
29,"yes","Netflix_18","Netflix","lan1","185.9.188.0","255.255.252.0","10.0.0.2",3,"4"
30,"yes","Netflix_19","Netflix","lan1","192.173.64.0","255.255.192.0","10.0.0.2",3,"4"
31,"yes","Netflix_20","Netflix","lan1","198.38.96.0","255.255.224.0","10.0.0.2",3,"4"
32,"yes","Netflix_21","Netflix","lan1","198.45.48.0","255.255.240.0","10.0.0.2",3,"4"
33,"yes","Netflix_22","Netflix","lan1","203.75.80.0","255.255.255.0","10.0.0.2",3,"4"
34,"yes","Netflix_23","Netflix","lan1","203.198.13.0","255.255.255.0","10.0.0.2",3,"4"
35,"yes","Netflix_24","Netflix","lan1","203.198.80.0","255.255.255.0","10.0.0.2",3,"4"
36,"yes","Netflix_25","Netflix","lan1","207.45.72.0","255.255.252.0","10.0.0.2",3,"4"
37,"yes","Netflix_26","Netflix","lan1","208.75.76.0","255.255.252.0","10.0.0.2",3,"4"
38,"yes","Netflix_27","Netflix","lan1","210.0.153.0","255.255.255.0","10.0.0.2",3,"4"
39,"yes","Netflix-v6_1","Netflix-v6","lan1","2607:fb10::/32","","fe80::be24:11ff:feec:684d",3,"6"
40,"yes","Netflix-v6_2","Netflix-v6","lan1","2620:0:ef0::/48","","fe80::be24:11ff:feec:684d",3,"6"
41,"yes","Netflix-v6_3","Netflix-v6","lan1","2620:10c:7000::/44","","fe80::be24:11ff:feec:684d",3,"6"
42,"yes","Netflix-v6_4","Netflix-v6","lan1","2a00:86c0::/32","","fe80::be24:11ff:feec:684d",3,"6"
43,"yes","Netflix-v6_5","Netflix-v6","lan1","2a00:86c0:3a00::/39","","fe80::be24:11ff:feec:684d",3,"6"
44,"yes","Netflix-v6_6","Netflix-v6","lan1","2a00:86c0:3c00::/38","","fe80::be24:11ff:feec:684d",3,"6"
45,"yes","Netflix-v6_7","Netflix-v6","lan1","2a03:5640::/33","","fe80::be24:11ff:feec:684d",3,"6"
46,"yes","Netflix-v6_8","Netflix-v6","lan1","2406:da00::/32","","fe80::be24:11ff:feec:684d",3,"6"
47,"yes","Netflix-v6_9","Netflix-v6","lan1","2406:da14::/32","","fe80::be24:11ff:feec:684d",3,"6"
48,"yes","Telegram_1","Telegram","lan1","91.108.56.0","255.255.252.0","10.0.0.2",3,"4"
49,"yes","Telegram_2","Telegram","lan1","91.108.4.0","255.255.252.0","10.0.0.2",3,"4"
50,"yes","Telegram_3","Telegram","lan1","91.108.8.0","255.255.252.0","10.0.0.2",3,"4"
51,"yes","Telegram_4","Telegram","lan1","91.108.16.0","255.255.252.0","10.0.0.2",3,"4"
52,"yes","Telegram_5","Telegram","lan1","91.108.12.0","255.255.252.0","10.0.0.2",3,"4"
53,"yes","Telegram_6","Telegram","lan1","149.154.160.0","255.255.240.0","10.0.0.2",3,"4"
54,"yes","Telegram_7","Telegram","lan1","91.105.192.0","255.255.254.0","10.0.0.2",3,"4"
55,"yes","Telegram_8","Telegram","lan1","91.108.20.0","255.255.252.0","10.0.0.2",3,"4"
56,"yes","Telegram_9","Telegram","lan1","185.76.151.0","255.255.255.0","10.0.0.2",3,"4"
57,"yes","Telegram-v6_1","Telegram-v6","lan1","2001:b28:f23d::/48","","fe80::be24:11ff:feec:684d",3,"6"
58,"yes","Telegram-v6_2","Telegram-v6","lan1","2001:b28:f23f::/48","","fe80::be24:11ff:feec:684d",3,"6"
59,"yes","Telegram-v6_3","Telegram-v6","lan1","2001:67c:4e8::/48","","fe80::be24:11ff:feec:684d",3,"6"
60,"yes","Telegram-v6_4","Telegram-v6","lan1","2001:b28:f23c::/48","","fe80::be24:11ff:feec:684d",3,"6"
61,"yes","Telegram-v6_5","Telegram-v6","lan1","2a0a:f280::/32","","fe80::be24:11ff:feec:684d",3,"6"
